4.89993,-1.80004,-1.57078
4.89993,-1.80004,-1.90412
4.89993,-1.80004,-2.23745
4.89993,-1.80004,-2.57078
4.89993,-1.80004,-2.90412
4.89993,-1.80004,3.04573
4.89993,-1.80004,2.7124
4.89043,-1.79386,2.41687
4.86501,-1.76614,2.20888
4.83537,-1.71926,2.06046
4.80669,-1.65773,1.95338
4.78088,-1.58559,1.87546
4.75829,-1.50586,1.81834
4.73868,-1.42074,1.77618
4.72159,-1.33176,1.74487
4.70656,-1.24001,1.72145
4.69317,-1.14626,1.7038
4.68109,-1.05105,1.69037
4.67002,-0.954774,1.68006
4.65977,-0.857722,1.67203
4.65016,-0.760095,1.66569
4.64108,-0.662045,1.66059
4.63243,-0.563682,1.6564
4.62415,-0.465089,1.65287
4.61618,-0.366329,1.64981
4.60848,-0.267447,1.64708
4.60105,-0.168482,1.64456
4.59385,-0.0694622,1.64216
4.58689,0.0295678,1.63974
4.58019,0.128534,1.63705
4.57379,0.227353,1.6338
4.56779,0.325839,1.62957
4.56226,0.422884,1.62592
4.55723,0.516983,1.6223
4.55285,0.605419,1.61833
4.54929,0.684058,1.61366
4.54672,0.748402,1.60795
4.54511,0.796164,1.60096
4.54426,0.828783,1.59265
4.5439,0.849926,1.58329
4.54412,0.885284,1.55059
